cat,name,amenity,cells,population,mean_minutes
106,The Lab Aid Hospital,hospital,31,5209,1.5
122,OSM 13845120302 (bangla name),clinic,115,5170,4.5
96,Hazrat Sumaiya Hospital,hospital,71,4208,4.5
111,Hossen Diagonestics Center,clinic,35,4207,1.7
86,Trust Medical Services,hospital,22,3684,1.8
63,Uzanyarabad community clinic,clinic,1414,2592,12.7
93,Life Care Pvt Hospital,hospital,19,2489,1.7
65,Atgao community clinic,clinic,2536,2303,22.6
97,Surjer Hasi Clinic,clinic,38,1947,2.6
12,Netrokona Sadar Hospital,hospital,8,1416,1.1
112,Medinova Health Care,clinic,16,1149,1.2
109,Digilap Diagonestics Center,clinic,6,593,0.8
110,Medilab Health Center,clinic,2,340,0.5
118,OSM 13844043201 (bangla name),hospital,2,171,1.0
8,OSM 8311261 (bangla name),hospital,1,86,0.0
62,Kartikpur Commuinity Clinic,clinic,94,0,4.9
